Ano,Categoria,Indicador,Curso_ou_Projeto,Quantidade_Mulheres,Detalhes
2019,Estudantes,Concluintes,Técnico em Informática para Internet,5,
2019,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,92,
2019,Estudantes,Ingressantes,Técnico em Informática,16,
2019,Estudantes,Concluintes,Técnico em Informática,11,
2019,Estudantes,Taxa de Permanência,Técnico em Informática,84,
2019,Estudantes,Ingressantes,Técnico Subsequente,15,
2019,Estudantes,Concluintes,Técnico Subsequente,6,
2019,Estudantes,Taxa de Permanência,Técnico Subsequente,90,
2020,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,22,
2020,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,9,
2020,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,80,
2020,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,6,Alunas vindas do técnico
2020,Estudantes,Ingressantes,Técnico em Informática para Internet,14,
2020,Estudantes,Concluintes,Técnico em Informática para Internet,8,
2020,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,70,
2020,Estudantes,Ingressantes,Técnico em Informática,26,
2020,Estudantes,Concluintes,Técnico em Informática,2,
2020,Estudantes,Taxa de Permanência,Técnico em Informática,86,
2020,Estudantes,Ingressantes,Técnico Subsequente,10,
2020,Estudantes,Concluintes,Técnico Subsequente,8,
2020,Estudantes,Taxa de Permanência,Técnico Subsequente,87,
2021,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,15,
2021,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,10,
2021,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,93,
2021,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,1,Alunas vindas do técnico
2021,Estudantes,Ingressantes,Técnico em Informática para Internet,12,
2021,Estudantes,Concluintes,Técnico em Informática para Internet,9,
2021,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,75,
2021,Estudantes,Ingressantes,Técnico em Informática,20,
2021,Estudantes,Concluintes,Técnico em Informática,9,
2021,Estudantes,Taxa de Permanência,Técnico em Informática,90,
2021,Estudantes,Ingressantes,Técnico Subsequente,20,
2021,Estudantes,Concluintes,Técnico Subsequente,9,
2021,Estudantes,Taxa de Permanência,Técnico Subsequente,83,
2022,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,20,
2022,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,6,
2022,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,72,
2022,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,1,Alunas vindas do técnico
2022,Estudantes,Ingressantes,Técnico em Informática para Internet,18,
2022,Estudantes,Concluintes,Técnico em Informática para Internet,5,
2022,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,90,
2022,Estudantes,Ingressantes,Técnico em Informática,17,
2022,Estudantes,Concluintes,Técnico em Informática,3,
2022,Estudantes,Taxa de Permanência,Técnico em Informática,88,
2022,Estudantes,Ingressantes,Técnico Subsequente,17,
2022,Estudantes,Concluintes,Técnico Subsequente,7,
2022,Estudantes,Taxa de Permanência,Técnico Subsequente,86,
2023,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,28,
2023,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,6,
2023,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,70,
2023,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,7,Alunas vindas do técnico
2023,Estudantes,Ingressantes,Técnico em Informática para Internet,15,
2023,Estudantes,Concluintes,Técnico em Informática para Internet,5,
2023,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,93,
2023,Estudantes,Ingressantes,Técnico em Informática,21,
2023,Estudantes,Concluintes,Técnico em Informática,3,
2023,Estudantes,Taxa de Permanência,Técnico em Informática,73,
2023,Estudantes,Ingressantes,Técnico Subsequente,26,
2023,Estudantes,Concluintes,Técnico Subsequente,7,
2023,Estudantes,Taxa de Permanência,Técnico Subsequente,73,
2024,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,20,
2024,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,9,
2024,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,86,
2024,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,3,Alunas vindas do técnico
2024,Estudantes,Ingressantes,Técnico em Informática para Internet,26,
2024,Estudantes,Concluintes,Técnico em Informática para Internet,10,
2024,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,87,
2024,Estudantes,Ingressantes,Técnico em Informática,15,
2024,Estudantes,Concluintes,Técnico em Informática,8,
2024,Estudantes,Taxa de Permanência,Técnico em Informática,88,
2024,Estudantes,Ingressantes,Técnico Subsequente,21,
2024,Estudantes,Concluintes,Técnico Subsequente,4,
2024,Estudantes,Taxa de Permanência,Técnico Subsequente,87,
2025,Estudantes,Ingressantes,Bacharelado em Sistemas de Informação,29,
2025,Estudantes,Concluintes,Bacharelado em Sistemas de Informação,10,
2025,Estudantes,Taxa de Permanência,Bacharelado em Sistemas de Informação,83,
2025,Estudantes,Verticalização,Bacharelado em Sistemas de Informação,4,Alunas vindas do técnico
2025,Estudantes,Ingressantes,Técnico em Informática para Internet,28,
2025,Estudantes,Concluintes,Técnico em Informática para Internet,2,
2025,Estudantes,Taxa de Permanência,Técnico em Informática para Internet,76,
2025,Estudantes,Ingressantes,Técnico em Informática,21,
2025,Estudantes,Concluintes,Técnico em Informática,8,
2025,Estudantes,Taxa de Permanência,Técnico em Informática,94,
2025,Estudantes,Ingressantes,Técnico Subsequente,26,
2025,Estudantes,Concluintes,Técnico Subsequente,4,
2025,Estudantes,Taxa de Permanência,Técnico Subsequente,74,
2016,Pessoas,Corpo Docente,Área de Computação,7,Professoras efetivas/substitutas
2016,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,3,Bolsistas do projeto no ano
2017,Pessoas,Corpo Docente,Área de Computação,9,Professoras efetivas/substitutas
2017,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,1,Bolsistas do projeto no ano
2018,Pessoas,Corpo Docente,Área de Computação,7,Professoras efetivas/substitutas
2018,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,3,Bolsistas do projeto no ano
2019,Pessoas,Corpo Docente,Área de Computação,7,Professoras efetivas/substitutas
2019,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,1,Bolsistas do projeto no ano
2020,Pessoas,Corpo Docente,Área de Computação,5,Professoras efetivas/substitutas
2020,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,1,Bolsistas do projeto no ano
2021,Pessoas,Corpo Docente,Área de Computação,6,Professoras efetivas/substitutas
2021,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,2,Bolsistas do projeto no ano
2022,Pessoas,Corpo Docente,Área de Computação,6,Professoras efetivas/substitutas
2022,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,2,Bolsistas do projeto no ano
2023,Pessoas,Corpo Docente,Área de Computação,9,Professoras efetivas/substitutas
2023,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,1,Bolsistas do projeto no ano
2024,Pessoas,Corpo Docente,Área de Computação,5,Professoras efetivas/substitutas
2024,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,3,Bolsistas do projeto no ano
2025,Pessoas,Corpo Docente,Área de Computação,8,Professoras efetivas/substitutas
2025,Pessoas,Histórico de Bolsistas,Meninas Digitais no Cerrado,3,Bolsistas do projeto no ano
2016,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,2,Oficina de Scratch
2016,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,4,Empoderamento Ceres Mulheres
2016,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,3,
2016,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,2,
2016,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,2,
2017,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,5,Workshop de Python
2017,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,4,Tecnologia Inclusão Cerrado
2017,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,3,
2017,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,2,
2017,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,3,
2018,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,4,Congresso de TI
2018,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,1,Mulheres Inclusão Educação
2018,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,2,
2018,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,3,
2018,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,3,
2019,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,2,Congresso de TI
2019,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,4,Gênero Gênero Empoderamento
2019,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,1,
2019,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,1,
2019,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,2,
2020,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,4,Flisol
2020,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,3,Mulheres Inclusão IF Goiano
2020,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,1,
2020,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,1,
2020,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,3,
2021,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,2,Oficina de Scratch
2021,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,3,Computação Tecnologia Tecnologia
2021,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,1,
2021,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,1,
2021,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,2,
2022,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,4,WTM
2022,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,3,Computação Cerrado Ceres
2022,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,2,
2022,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,2,
2022,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,3,
2023,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,4,WTM
2023,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,3,Tecnologia Tecnologia Ceres
2023,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,1,
2023,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,2,
2023,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,3,
2024,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,4,Oficina de Scratch
2024,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,2,Gênero IF Goiano Ceres
2024,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,3,
2024,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,2,
2024,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,1,
2025,Produção e Ações,Eventos e Oficinas,Meninas Digitais no Cerrado,4,Oficina de Scratch
2025,Produção e Ações,Produção Científica,Meninas Digitais no Cerrado,1,Mulheres Cerrado Cerrado
2025,Produção e Ações,Projeto de Ensino,Meninas Digitais no Cerrado,1,
2025,Produção e Ações,Projeto de Pesquisa,Meninas Digitais no Cerrado,2,
2025,Produção e Ações,Projeto de Extensão,Meninas Digitais no Cerrado,3,
